temperatura_sensor,humedad_ambiente,tiempo_desde_calibracion,nivel_gas_metano,fecha,hora,nivel_bateria
18.73,73.08,525.6,0.29,2024-09-27,00:00:00,97.74
47.54,71.65,132.85,1.87,2024-09-27,00:04:00,100.0
36.6,66.17,249.58,1.46,2024-09-27,00:08:00,100.0
29.93,81.25,477.56,0.84,2024-09-27,00:12:00,100.0
7.8,76.68,347.1,0.18,2024-09-27,00:16:00,99.64
7.8,90.3,531.77,1.04,2024-09-27,00:20:00,100.0
2.9,61.12,692.07,1.08,2024-09-27,00:24:00,98.36
43.31,82.54,83.91,0.35,2024-09-27,00:28:00,100.0
30.06,86.7,510.89,0.15,2024-09-27,00:32:00,100.0
35.4,86.58,165.85,0.98,2024-09-27,00:36:00,99.4
1.03,91.01,298.42,1.59,2024-09-27,00:40:00,99.37
48.5,85.52,23.66,0.27,2024-09-27,00:44:00,100.0
41.62,92.47,97.85,0.81,2024-09-27,00:48:00,96.16
10.62,71.64,230.24,0.27,2024-09-27,00:52:00,100.0
9.09,77.61,246.23,0.27,2024-09-27,00:56:00,100.0
9.17,60.49,647.7,0.6,2024-09-27,01:00:00,99.95
15.21,60.24,534.11,0.24,2024-09-27,01:04:00,99.4
26.24,68.4,699.97,0.47,2024-09-27,01:08:00,99.84
21.6,63.53,431.33,1.11,2024-09-27,01:12:00,100.0
14.56,69.11,174.03,0.13,2024-09-27,01:16:00,100.0
30.59,66.2,235.91,0.88,2024-09-27,01:20:00,100.0
6.97,61.0,230.28,0.56,2024-09-27,01:24:00,100.0
14.61,91.83,235.08,0.67,2024-09-27,01:28:00,99.88
18.32,60.29,484.53,0.53,2024-09-27,01:32:00,96.13
22.8,85.76,382.18,1.21,2024-09-27,01:36:00,96.49
39.26,65.33,277.51,0.65,2024-09-27,01:40:00,100.0
9.98,91.93,107.34,0.37,2024-09-27,01:44:00,100.0
25.71,91.25,15.94,0.57,2024-09-27,01:48:00,100.0
29.62,82.89,157.56,0.35,2024-09-27,01:52:00,100.0
2.32,83.53,77.38,0.28,2024-09-27,01:56:00,100.0
30.38,60.19,565.52,1.04,2024-09-27,02:00:00,100.0
8.53,94.47,81.0,0.36,2024-09-27,02:04:00,98.04
3.25,90.72,521.44,0.1,2024-09-27,02:08:00,100.0
47.44,91.33,277.67,0.68,2024-09-27,02:12:00,100.0
48.28,83.07,52.83,0.37,2024-09-27,02:16:00,100.0
40.42,72.07,585.17,1.37,2024-09-27,02:20:00,92.48
